,movie,year,imdb,metaScore,votes,usGrossMillions,timeMin
467,The Rules of the Game,1939,8.0,,27126,,110
468,The Thin Man,1934,8.0,86.0,27143,,91
469,Battleship Potemkin,1925,8.0,97.0,53979,0.05,66
470,Knives Out,2019,7.9,82.0,488448,165.36,130
471,Shoplifters,2018,7.9,93.0,66044,3.31,121
472,Marriage Story,2019,7.9,94.0,258453,2.0,137
473,Call Me by Your Name,2017,7.9,93.0,222699,18.1,132
474,"I, Daniel Blake",2016,7.9,78.0,55315,0.26,100
475,Isle of Dogs,2018,7.9,82.0,144270,32.02,101
476,Hunt for the Wilderpeople,2016,7.9,81.0,115497,5.2,101
477,M.S. Dhoni: The Untold Story,2016,7.9,,41922,1.78,184
478,Captain Fantastic,2016,7.9,72.0,197157,5.88,118
479,Sing Street,2016,7.9,79.0,86817,3.24,106
480,Thor: Ragnarok,2017,7.9,74.0,611657,315.06,130
481,Jojo Rabbit,2019,7.9,58.0,318265,0.35,108
482,Arrival,2016,7.9,81.0,610446,100.55,116
483,Star Wars: Episode VII - The Force Awakens,2015,7.9,80.0,870700,936.66,138
484,Before Midnight,2013,7.9,94.0,144547,8.11,109
485,X-Men: Days of Future Past,2014,7.9,75.0,668299,233.92,132
486,Once Upon a Time in Anatolia,2011,7.9,82.0,43219,0.14,157
487,Bohemian Rhapsody,2018,7.9,49.0,467509,216.43,134
488,The Artist,2011,7.9,89.0,232967,44.67,100
489,Edge of Tomorrow,2014,7.9,71.0,610376,100.21,113
490,Amour,2012,7.9,94.0,94575,6.74,127
491,A Prophet,2009,7.9,90.0,94736,2.08,155
492,Moon,2009,7.9,67.0,339301,5.01,97
493,Let the Right One In,2008,7.9,82.0,207337,2.12,114
494,District 9,2009,7.9,81.0,644091,115.65,112
495,The Wrestler,2008,7.9,80.0,291898,26.24,109
496,Jab We Met,2007,7.9,,48493,0.41,138
497,Boyhood,2014,7.9,100.0,338821,25.38,165
498,"4 Months, 3 Weeks and 2 Days",2007,7.9,97.0,57364,1.19,113
499,Star Trek,2009,7.9,82.0,581141,257.73,127
500,In Bruges,2008,7.9,67.0,395084,7.76,107
501,The Man from Earth,2007,7.9,,176617,,87
502,Letters from Iwo Jima,2006,7.9,89.0,155337,13.76,141
503,The Fall,2006,7.9,64.0,108186,2.28,117
504,Life of Pi,2012,7.9,79.0,588781,124.99,127
505,Fantastic Mr. Fox,2009,7.9,83.0,205604,21.0,87
506,C.R.A.Z.Y.,2005,7.9,81.0,31651,,129
507,The Chorus,2004,7.9,56.0,58382,3.64,97
508,Iron Man,2008,7.9,79.0,957713,318.41,126
509,Shaun of the Dead,2004,7.9,76.0,519325,13.54,99
510,Kal Ho Naa Ho,2003,7.9,54.0,64303,1.79,186
511,Head-On,2004,7.9,78.0,51932,,121
512,Mystic River,2003,7.9,84.0,425214,90.14,138
513,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,563490,249.36,142
514,Hero,2002,7.9,85.0,175218,53.71,120
515,Talk to Her,2002,7.9,86.0,105754,9.28,112
516,No Man's Land,2001,7.9,84.0,45211,1.06,98
517,Cowboy Bebop: The Movie,2001,7.9,61.0,43678,1.0,115
518,The Bourne Identity,2002,7.9,68.0,514961,121.66,119
519,Nine Queens,2000,7.9,80.0,50385,1.22,114
520,Children of Men,2006,7.9,84.0,470696,35.55,109
521,All About My Mother,1999,7.9,87.0,90719,8.26,101
522,Almost Famous,2000,7.9,90.0,256974,32.53,122
523,Mulholland Dr.,2001,7.9,85.0,327947,7.22,147
524,Shrek,2001,7.9,84.0,623728,267.67,90
525,Toy Story 2,1999,7.9,88.0,535106,245.85,92
526,Knockin' on Heaven's Door,1997,7.9,,28167,0.0,87
527,Boogie Nights,1997,7.9,85.0,243373,26.4,155
528,Whisper of the Heart,1995,7.9,75.0,54086,,111
529,Once Were Warriors,1994,7.9,77.0,31913,2.2,102
530,True Romance,1993,7.9,59.0,210030,12.28,119
531,Three Colors: Blue,1993,7.9,85.0,92176,1.32,94
532,Ninja Scroll,1993,7.9,,35066,,94
533,Carlito's Way,1993,7.9,65.0,204164,36.95,144
534,Edward Scissorhands,1990,7.9,74.0,452786,56.36,105
535,My Left Foot,1989,7.9,97.0,69457,14.74,103
536,Crimes and Misdemeanors,1989,7.9,77.0,55407,18.25,104
537,The Untouchables,1987,7.9,79.0,286794,76.27,119
538,Hannah and Her Sisters,1986,7.9,90.0,68099,40.08,107
539,Brazil,1985,7.9,84.0,189940,9.93,132
540,This Is Spinal Tap,1984,7.9,92.0,130726,0.19,82
541,A Christmas Story,1983,7.9,77.0,133780,20.61,93
542,The Blues Brothers,1980,7.9,60.0,185964,57.23,133
543,Manhattan,1979,7.9,83.0,132946,45.7,96
544,All That Jazz,1979,7.9,72.0,28744,37.82,123
545,Dawn of the Dead,1978,7.9,71.0,112813,5.1,127
546,The Holy Mountain,1973,7.9,76.0,38369,0.06,114
547,Amarcord,1973,7.9,,40601,0.58,123
548,The Discreet Charm of the Bourgeoisie,1972,7.9,93.0,39555,0.2,102
549,"Aguirre, the Wrath of God",1972,7.9,,53288,,95
550,Harold and Maude,1971,7.9,62.0,71893,,91
551,Patton,1970,7.9,91.0,94688,61.7,172
552,The Wild Bunch,1969,7.9,97.0,78435,12.06,135
553,Night of the Living Dead,1968,7.9,89.0,118296,0.09,96
554,The Lion in Winter,1968,7.9,,29414,22.28,134
555,In the Heat of the Night,1967,7.9,75.0,69019,24.38,110
556,Charade,1963,7.9,83.0,70471,13.47,113
557,The Manchurian Candidate,1962,7.9,94.0,71916,,126
558,Spartacus,1960,7.9,87.0,125901,30.0,197
559,L'Avventura,1960,7.9,,27147,,144
560,Hiroshima Mon Amour,1959,7.9,,29146,0.09,90
561,The Ten Commandments,1956,7.9,,65622,93.74,220
562,The Searchers,1956,7.9,94.0,81772,,119
563,East of Eden,1955,7.9,72.0,41130,,118
564,Harvey,1950,7.9,,53004,,104
565,Miracle on 34th Street,1947,7.9,88.0,41981,2.65,96
566,The Big Sleep,1946,7.9,,79590,6.54,114
567,The Lost Weekend,1945,7.9,,34112,9.46,101
568,The Philadelphia Story,1940,7.9,96.0,64508,,112
569,His Girl Friday,1940,7.9,,54471,0.3,92
570,Stagecoach,1939,7.9,93.0,44670,,96
571,Bringing Up Baby,1938,7.9,91.0,56020,,102
572,The Adventures of Robin Hood,1938,7.9,97.0,47793,3.98,102
573,A Night at the Opera,1935,7.9,,30935,2.54,96
574,King Kong,1933,7.9,90.0,80464,10.0,100
575,Freaks,1932,7.9,80.0,42684,,64
576,Nosferatu,1922,7.9,,90011,,94
577,The Gentlemen,2019,7.8,51.0,261528,,113
578,The Mitchells vs the Machines,2021,7.8,81.0,33289,,113
579,Raazi,2018,7.8,,26087,,138
580,Sound of Metal,2019,7.8,82.0,82713,,120
581,The Salesman,2016,7.8,85.0,52919,2.4,124
582,Dunkirk,2017,7.8,94.0,571952,188.37,106
583,Perfect Strangers,2016,7.8,,58839,,96
584,Hidden Figures,2016,7.8,74.0,206192,169.61,127
585,Paddington 2,2017,7.8,88.0,64273,40.44,103
586,Udta Punjab,2016,7.8,,27658,,148
587,Kubo and the Two Strings,2016,7.8,84.0,120026,48.02,101
588,Manchester by the Sea,2016,7.8,96.0,253383,47.7,137
589,Land of Mine,2015,7.8,75.0,36964,0.44,100
590,Rogue One: A Star Wars Story,2016,7.8,65.0,566708,532.18,133
591,Captain America: Civil War,2016,7.8,75.0,683410,408.08,147
592,The Hateful Eight,2015,7.8,68.0,530452,54.12,168
593,Little Women,2019,7.8,91.0,153600,108.1,135
594,Loving Vincent,2017,7.8,62.0,52261,6.74,94
595,Pride,2014,7.8,79.0,52785,,119
596,Nightcrawler,2014,7.8,76.0,478830,32.38,117
597,The Great Beauty,2013,7.8,86.0,82586,2.85,141
598,The Lunchbox,2013,7.8,76.0,51632,4.23,104
599,Vicky Donor,2012,7.8,,40222,0.17,126
600,Big Hero 6,2014,7.8,74.0,418003,222.53,102
601,Kai Po Che,2013,7.8,40.0,33301,1.12,120
602,About Time,2013,7.8,55.0,312657,15.32,123
603,English Vinglish,2012,7.8,,34041,1.67,134
604,The Wind Rises,2013,7.8,83.0,76020,5.21,126
605,The Best Offer,2013,7.8,49.0,110778,0.09,131
606,Moonrise Kingdom,2012,7.8,84.0,324528,45.51,94
607,How to Train Your Dragon 2,2014,7.8,76.0,310084,177.0,102
608,The Big Short,2015,7.8,81.0,375347,70.26,130
609,I Saw the Devil,2010,7.8,67.0,114643,0.13,144
610,The Girl with the Dragon Tattoo,2011,7.8,71.0,430576,102.52,158
611,Captain Phillips,2013,7.8,82.0,427728,107.1,134
612,The Man from Nowhere,2010,7.8,,64276,0.01,119
613,Straight Outta Compton,2015,7.8,72.0,183129,161.2,147
614,The Irishman,2019,7.8,94.0,337461,7.0,209
615,Mother,2009,7.8,79.0,55162,0.55,129
616,The Chaser,2008,7.8,64.0,59945,,125
617,The Hobbit: The Desolation of Smaug,2013,7.8,66.0,609860,258.37,161
618,The White Ribbon,2009,7.8,82.0,69627,2.22,144
619,The Girl with the Dragon Tattoo,2009,7.8,76.0,210460,10.1,152
620,The Trial of the Chicago 7,2020,7.8,76.0,143385,,129
621,Another Round,2020,7.8,80.0,73741,,117
622,The Fighter,2010,7.8,79.0,345379,93.62,116
623,Taken,2008,7.8,51.0,570388,145.0,90
624,The Boy in the Striped Pajamas,2008,7.8,55.0,194387,9.03,93
625,Once,2007,7.8,88.0,111737,9.44,86
626,The Hobbit: An Unexpected Journey,2012,7.8,58.0,766859,303.0,169
627,The Edge of Heaven,2007,7.8,85.0,31075,0.74,122
628,Atonement,2007,7.8,85.0,256368,50.93,123
629,Drive,2011,7.8,78.0,581390,35.06,100
630,American Gangster,2007,7.8,76.0,398382,130.16,157
631,Avatar,2009,7.8,83.0,1133692,760.51,162
632,Mr. Nobody,2009,7.8,63.0,219759,0.0,141
633,Apocalypto,2006,7.8,68.0,294773,50.87,139
634,Little Miss Sunshine,2006,7.8,80.0,446135,59.89,101
635,Hot Fuzz,2007,7.8,81.0,470901,23.64,121
636,The Curious Case of Benjamin Button,2008,7.8,70.0,599626,127.51,166
637,Veer-Zaara,2004,7.8,67.0,49677,2.92,192
638,Adam's Apples,2005,7.8,51.0,46753,0.0,94
639,Pride & Prejudice,2005,7.8,82.0,265352,38.41,129
640,The World's Fastest Indian,2005,7.8,68.0,52549,5.13,127
641,Tokyo Godfathers,2003,7.8,73.0,32722,0.13,92
642,Serenity,2005,7.8,74.0,285540,25.51,119
643,Walk the Line,2005,7.8,72.0,237090,119.52,136
644,Evil,2003,7.8,61.0,36031,0.02,113
645,The Notebook,2004,7.8,53.0,529367,81.0,123
646,The Motorcycle Diaries,2004,7.8,75.0,97763,16.76,126
647,Lilya 4-Ever,2002,7.8,82.0,43260,0.18,109
648,The Triplets of Belleville,2003,7.8,91.0,51116,7.0,80
649,Joint Security Area,2000,7.8,58.0,27270,,110
650,Waking Life,2001,7.8,83.0,61373,2.89,99
651,Remember the Titans,2000,7.8,48.0,200746,115.65,113
652,"Crouching Tiger, Hidden Dragon",2000,7.8,94.0,256260,128.08,120
653,Cast Away,2000,7.8,73.0,535668,233.63,143
654,The Boondock Saints,1999,7.8,44.0,229183,0.03,108
655,The Insider,1999,7.8,84.0,161842,28.97,157
656,October Sky,1999,7.8,71.0,84050,32.48,108
657,Titanic,1997,7.8,75.0,1065606,659.33,194
658,Fireworks,1997,7.8,,28302,0.23,103
659,Gattaca,1997,7.8,64.0,284564,12.34,106
660,The Game,1997,7.8,61.0,354942,48.32,129
661,Breaking the Waves,1996,7.8,76.0,63305,4.04,159
662,Ed Wood,1994,7.8,70.0,166634,5.89,127
663,Tombstone,1993,7.8,50.0,130042,56.51,130
664,The Sandlot,1993,7.8,55.0,80707,32.42,101
665,The Remains of the Day,1993,7.8,86.0,67900,22.95,134
666,Naked,1993,7.8,84.0,35555,1.77,132
667,The Fugitive,1993,7.8,87.0,271990,183.88,130
668,A Bronx Tale,1993,7.8,80.0,130450,17.27,121
669,Batman: Mask of the Phantasm,1993,7.8,,44804,5.62,76
670,Hard Boiled,1992,7.8,,47320,,128
671,The Double Life of Véronique,1991,7.8,86.0,43662,2.0,98
672,Boyz n the Hood,1991,7.8,76.0,128616,57.5,112
673,Misery,1990,7.8,75.0,188276,61.28,107
674,Awakenings,1990,7.8,74.0,128637,52.1,121
675,Kiki's Delivery Service,1989,7.8,83.0,127993,,103
676,Glory,1989,7.8,78.0,125355,26.83,122
677,The Killer,1989,7.8,82.0,46085,,111
678,Back to the Future Part II,1989,7.8,57.0,489459,118.5,108
679,Mississippi Burning,1988,7.8,65.0,90269,34.6,128
680,Predator,1987,7.8,45.0,377166,59.74,107
681,Ferris Bueller's Day Off,1986,7.8,61.0,326178,70.14,103
682,The Goonies,1985,7.8,62.0,248601,61.5,114
683,The Color Purple,1985,7.8,78.0,79983,98.47,154
684,The Breakfast Club,1985,7.8,66.0,362893,45.88,97
685,The Killing Fields,1984,7.8,76.0,52397,34.7,141
686,Ghostbusters,1984,7.8,71.0,361111,238.63,105
687,The Right Stuff,1983,7.8,91.0,56876,21.5,193
688,The King of Comedy,1982,7.8,73.0,92424,2.5,109
689,E.T. the Extra-Terrestrial,1982,7.8,91.0,377947,435.11,115
690,Kramer vs. Kramer,1979,7.8,77.0,135901,106.26,105
691,Days of Heaven,1978,7.8,93.0,53953,,94
692,The Outlaw Josey Wales,1976,7.8,69.0,66613,31.8,135
693,The Man Who Would Be King,1975,7.8,91.0,45813,,129
694,The Conversation,1974,7.8,85.0,101230,4.42,113
695,Fantastic Planet,1973,7.8,73.0,26504,0.19,72
696,The Day of the Jackal,1973,7.8,80.0,38096,16.06,143
697,Badlands,1973,7.8,93.0,67454,,94
698,Cabaret,1972,7.8,80.0,49071,42.77,124
699,Willy Wonka & the Chocolate Factory,1971,7.8,67.0,181410,4.0,100
700,Midnight Cowboy,1969,7.8,79.0,102690,44.79,113
701,Wait Until Dark,1967,7.8,81.0,28162,17.55,108
702,Guess Who's Coming to Dinner,1967,7.8,63.0,40571,56.7,108
703,Bonnie and Clyde,1967,7.8,86.0,104163,,111
704,My Fair Lady,1964,7.8,95.0,88211,72.0,170
705,Mary Poppins,1964,7.8,88.0,160201,102.27,139
706,The Longest Day,1962,7.8,75.0,52671,39.1,178
707,Jules and Jim,1962,7.8,97.0,38408,,105
708,The Innocents,1961,7.8,88.0,27600,2.62,100
709,Breathless,1960,7.8,,74688,0.34,90
710,The Quiet Man,1952,7.8,,35588,10.55,129
711,The African Queen,1951,7.8,91.0,72496,0.54,105
712,Red River,1948,7.8,,28689,,133
713,Key Largo,1948,7.8,,37522,,100
714,To Have and Have Not,1944,7.8,90.0,31599,,100
715,Gaslight,1944,7.8,,25306,,114
716,Shadow of a Doubt,1943,7.8,94.0,60594,,108
717,The Lady Vanishes,1938,7.8,98.0,48370,,96
718,The Bride of Frankenstein,1935,7.8,95.0,44104,4.36,75
719,Duck Soup,1933,7.8,93.0,56135,,69
720,Scarface,1932,7.8,87.0,25793,,93
721,Frankenstein,1931,7.8,91.0,66281,,70
722,Roma,2018,7.7,96.0,144147,,135
723,God's Own Country,2017,7.7,85.0,26391,0.34,104
724,Deadpool 2,2018,7.7,66.0,496068,324.59,119
725,Wind River,2017,7.7,73.0,213418,33.8,107
726,Get Out,2017,7.7,85.0,507257,176.04,104
727,Mission: Impossible - Fallout,2018,7.7,86.0,298558,220.16,147
728,A Man Called Ove,2015,7.7,70.0,48977,3.36,116
729,What We Do in the Shadows,2014,7.7,76.0,161476,3.33,86
730,When Marnie Was There,2014,7.7,72.0,34369,0.77,103
731,The Theory of Everything,2014,7.7,72.0,412810,35.89,123
732,Kingsman: The Secret Service,2014,7.7,60.0,600023,128.26,129
733,The Fault in Our Stars,2014,7.7,69.0,349154,124.87,126
734,Me and Earl and the Dying Girl,2015,7.7,74.0,125076,6.74,105
735,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,589252,42.34,119
736,The Past,2013,7.7,85.0,45579,1.33,130
737,Blue Is the Warmest Colour,2013,7.7,89.0,141061,2.2,180
738,The Broken Circle Breakdown,2012,7.7,70.0,39832,0.18,111
739,Toy Story 4,2019,7.7,84.0,211783,434.04,100
740,Captain America: The Winter Soldier,2014,7.7,70.0,754086,259.77,136
741,Rockstar,2011,7.7,,40271,0.99,159
742,Nebraska,2013,7.7,87.0,113642,17.65,115
743,Wreck-It Ralph,2012,7.7,72.0,386163,189.42,101
744,The Little Prince,2015,7.7,70.0,57815,1.34,108
745,Detachment,2011,7.7,52.0,78665,0.07,98
746,Midnight in Paris,2011,7.7,81.0,393833,56.82,94
747,Confessions,2010,7.7,,36302,,106
748,The Lego Movie,2014,7.7,83.0,327686,257.76,100
749,Gravity,2013,7.7,96.0,778277,274.09,91
750,Star Trek Into Darkness,2013,7.7,72.0,466350,228.78,132
751,Beasts of No Nation,2015,7.7,79.0,75426,0.08,137
752,The Social Network,2010,7.7,95.0,637803,96.96,120
753,X-Men: First Class,2011,7.7,65.0,652838,146.41,131
754,The Hangover,2009,7.7,73.0,726430,277.32,100
755,Skyfall,2012,7.7,81.0,636869,304.36,143
756,Silver Linings Playbook,2012,7.7,81.0,670131,132.09,122
757,Argo,2012,7.7,86.0,580788,136.03,120
758,500 Days of Summer,2009,7.7,76.0,478414,32.39,95
759,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65.0,489157,295.98,146
760,Ponyo,2008,7.7,86.0,128651,15.09,101
761,Frost/Nixon,2008,7.7,80.0,104205,18.59,122
762,Paprika,2006,7.7,81.0,73366,0.88,90
763,Changeling,2008,7.7,63.0,241746,35.74,141
764,Flipped,2010,7.7,45.0,82875,1.75,90
765,The Girl Who Leapt Through Time,2006,7.7,,61571,,98
766,Death Note,2006,7.7,,28961,,126
767,This Is England,2006,7.7,86.0,116693,0.33,101
768,Ex Machina,2014,7.7,78.0,482798,25.44,108
769,After the Wedding,2006,7.7,78.0,32738,0.41,120
770,The Last King of Scotland,2006,7.7,74.0,177449,17.61,123
771,Zodiac,2007,7.7,78.0,479228,33.08,157
772,Lucky Number Slevin,2006,7.7,53.0,301666,22.49,110
773,Joyeux Noel,2005,7.7,70.0,28236,1.05,116
774,Control,2007,7.7,78.0,62220,0.87,122
775,Tangled,2010,7.7,71.0,412534,200.82,100
776,Black Book,2006,7.7,71.0,73410,4.4,145
777,Brokeback Mountain,2005,7.7,87.0,328277,83.04,134
778,3:10 to Yuma,2007,7.7,76.0,292888,53.61,122
779,Crash,2004,7.7,66.0,422865,54.58,112
780,Kung Fu Hustle,2004,7.7,78.0,129245,17.11,99
781,The Bourne Supremacy,2004,7.7,73.0,439576,176.24,108
782,The Machinist,2004,7.7,61.0,363329,1.08,101
783,Ray,2004,7.7,73.0,140191,75.33,152
784,Lost in Translation,2003,7.7,89.0,422551,44.59,102
785,Harry Potter and the Goblet of Fire,2005,7.7,81.0,559343,290.01,157
786,Man on Fire,2004,7.7,47.0,333811,77.91,146
787,Coraline,2009,7.7,80.0,201514,75.29,100
788,The Last Samurai,2003,7.7,55.0,405459,111.11,154
789,The Magdalene Sisters,2002,7.7,83.0,26192,4.89,114
790,Finding Neverland,2004,7.7,67.0,200227,51.68,106
791,Good Bye Lenin!,2003,7.7,68.0,139600,4.06,121
792,In America,2002,7.7,76.0,40655,15.54,105
793,Adaptation.,2002,7.7,83.0,180929,22.25,115
794,Black Hawk Down,2001,7.7,74.0,368926,108.64,144
795,Road to Perdition,2002,7.7,72.0,250335,104.45,117
796,The Experiment,2001,7.7,60.0,91454,0.14,120
797,Billy Elliot,2000,7.7,74.0,128277,22.0,110
798,Hedwig and the Angry Inch,2001,7.7,85.0,32296,3.03,95
799,The Count of Monte Cristo,2002,7.7,61.0,130649,54.23,131
800,Ocean's Eleven,2001,7.7,74.0,524952,183.42,116
801,Vampire Hunter D: Bloodlust,2000,7.7,62.0,29726,0.15,103
802,"O Brother, Where Art Thou?",2000,7.7,69.0,292342,45.51,107
803,Interstate 60: Episodes of the Road,2002,7.7,,30397,,116
804,"South Park: Bigger, Longer & Uncut",1999,7.7,73.0,193702,52.04,81
805,Office Space,1999,7.7,68.0,245744,10.82,89
806,Happiness,1998,7.7,81.0,67113,2.81,134
807,Training Day,2001,7.7,69.0,399322,76.63,122
808,Run Lola Run,1998,7.7,77.0,189918,7.27,80
809,Rushmore,1998,7.7,86.0,172323,17.11,93
810,Open Your Eyes,1997,7.7,,64860,0.37,119
811,Being John Malkovich,1999,7.7,90.0,316755,22.86,113
812,Taste of Cherry,1997,7.7,80.0,25075,0.31,95
813,As Good as It Gets,1997,7.7,67.0,279535,148.48,139
814,The Fifth Element,1997,7.7,52.0,440089,63.54,126
815,Le Dîner de Cons,1998,7.7,73.0,37954,4.07,80
816,Donnie Brasco,1997,7.7,76.0,284795,41.91,127
817,Shine,1996,7.7,87.0,51887,35.81,105
818,Primal Fear,1996,7.7,47.0,193689,56.12,129
819,Hamlet,1996,7.7,,36313,4.41,242
820,Sense and Sensibility,1995,7.7,84.0,104732,43.18,136
821,A Little Princess,1995,7.7,83.0,32629,10.02,97
822,Fallen Angels,1995,7.7,71.0,28412,,99
823,Il Postino,1994,7.7,81.0,34218,21.85,108
824,Clerks,1994,7.7,70.0,213190,3.15,92
825,What's Eating Gilbert Grape,1993,7.7,73.0,218691,9.17,118
826,Short Cuts,1993,7.7,79.0,42732,6.11,188
827,Philadelphia,1993,7.7,66.0,227631,77.32,125
828,The Muppet Christmas Carol,1992,7.7,64.0,50792,27.28,85
829,Malcolm X,1992,7.7,73.0,87759,48.17,202
830,The Last of the Mohicans,1992,7.7,76.0,153981,75.51,112
831,Porco Rosso,1992,7.7,83.0,80199,,94
832,Glengarry Glen Ross,1992,7.7,82.0,97232,10.73,100
833,A Few Good Men,1992,7.7,62.0,239621,141.34,138
834,Night on Earth,1991,7.7,68.0,56359,2.02,129
835,Fried Green Tomatoes,1991,7.7,64.0,68213,82.42,130
836,Barton Fink,1991,7.7,69.0,114759,6.15,116
837,Miller's Crossing,1990,7.7,66.0,127456,5.08,115
838,Who Framed Roger Rabbit,1988,7.7,83.0,184651,156.45,104
839,The Vanishing,1988,7.7,,34585,,107
840,The Last Emperor,1987,7.7,76.0,96200,43.98,163
841,Evil Dead II,1987,7.7,72.0,150228,5.92,84
842,Empire of the Sun,1987,7.7,62.0,117650,22.24,153
843,The Name of the Rose,1986,7.7,54.0,103458,7.15,130
844,Down by Law,1986,7.7,75.0,48569,1.44,107
845,Blue Velvet,1986,7.7,76.0,184257,8.55,120
846,The Purple Rose of Cairo,1985,7.7,75.0,47744,10.63,82
847,After Hours,1985,7.7,90.0,61739,10.6,97
848,Zelig,1983,7.7,,40380,11.8,79
849,The Verdict,1982,7.7,77.0,36817,54.0,129
850,Star Trek II: The Wrath of Khan,1982,7.7,67.0,114092,78.91,113
851,First Blood,1982,7.7,61.0,231393,47.21,93
852,Ordinary People,1980,7.7,86.0,47987,54.8,124
853,Airplane!,1980,7.7,78.0,218625,83.4,88
854,Lupin the Third: Castle of Cagliostro,1979,7.7,71.0,27802,,102
855,Halloween,1978,7.7,87.0,236373,47.0,91
856,The Tenant,1976,7.7,71.0,40766,1.92,126
857,Love and Death,1975,7.7,89.0,36581,,85
858,The Taking of Pelham One Two Three,1974,7.7,68.0,27313,2.49,104
859,Blazing Saddles,1974,7.7,73.0,127811,119.5,93
860,Serpico,1973,7.7,87.0,112187,29.8,130
861,Enter the Dragon,1973,7.7,83.0,98225,25.0,102
862,Deliverance,1972,7.7,80.0,100190,7.06,109
863,The French Connection,1971,7.7,94.0,112344,15.63,104
864,Dirty Harry,1971,7.7,90.0,145424,35.9,102
865,The Odd Couple,1968,7.7,86.0,32178,44.53,105
866,The Dirty Dozen,1967,7.7,73.0,68076,45.3,150
867,Belle de Jour,1967,7.7,,41070,0.03,100
868,A Man for All Seasons,1966,7.7,72.0,32058,28.35,120
869,Repulsion,1965,7.7,91.0,49645,,105
870,Zulu,1964,7.7,77.0,36618,,138
871,Goldfinger,1964,7.7,87.0,176452,51.08,110
872,The Birds,1963,7.7,90.0,174277,11.4,119
873,Cape Fear,1962,7.7,76.0,26855,,106
874,Peeping Tom,1960,7.7,,32167,0.08,101
875,The Magnificent Seven,1960,7.7,74.0,88916,4.91,128
876,Eyes Without a Face,1960,7.7,90.0,28306,0.05,90
877,Invasion of the Body Snatchers,1956,7.7,92.0,45565,,80
878,Rebel Without a Cause,1955,7.7,89.0,84782,,111
879,The Ladykillers,1955,7.7,91.0,27091,,91
880,Sabrina,1954,7.7,72.0,60412,,113
881,The Day the Earth Stood Still,1951,7.7,,76823,,92
882,Gilda,1946,7.7,,28555,,110
883,Fantasia,1940,7.7,96.0,89909,76.41,125
884,The 39 Steps,1935,7.7,93.0,52910,,86
885,The Invisible Man,1933,7.7,87.0,31336,,71
886,Dark Waters,2019,7.6,73.0,67411,,126
887,Searching,2018,7.6,71.0,145214,26.02,102
888,Once Upon a Time... In Hollywood,2019,7.6,83.0,580033,142.5,161
889,Loveless,2017,7.6,86.0,30597,0.57,127
890,The Florida Project,2017,7.6,92.0,98502,5.9,111
891,Just Mercy,2019,7.6,68.0,51428,,137
892,Gifted,2017,7.6,60.0,103255,24.8,101
893,The Peanut Butter Falcon,2019,7.6,70.0,71064,13.12,97
894,Victoria,2015,7.6,77.0,54371,,138
895,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,586271,389.81,136
896,Baby Driver,2017,7.6,86.0,453397,107.83,113
897,Only the Brave,2017,7.6,72.0,60435,18.34,134
898,Bridge of Spies,2015,7.6,81.0,292503,72.31,142
899,Incredibles 2,2018,7.6,80.0,257745,608.58,118
900,Moana,2016,7.6,81.0,281770,248.76,107
901,Sicario,2015,7.6,82.0,379991,46.89,121
902,Creed,2015,7.6,82.0,251672,109.77,133
903,Leviathan,2014,7.6,92.0,50297,1.09,140
904,Hell or High Water,2016,7.6,88.0,208337,26.86,102
905,Philomena,2013,7.6,77.0,95407,37.71,98
906,Dawn of the Planet of the Apes,2014,7.6,79.0,415821,208.55,130
907,The Body,2012,7.6,,59561,,112
908,The Raid: Redemption,2011,7.6,73.0,193048,4.11,101
909,End of Watch,2012,7.6,68.0,231024,41.0,109
910,The Secret World of Arrietty,2010,7.6,80.0,83226,19.2,94
911,A Star Is Born,2018,7.6,88.0,344991,215.29,136
912,True Grit,2010,7.6,80.0,316849,171.24,110
913,In a Better World,2010,7.6,65.0,38828,1.01,118
914,Despicable Me,2010,7.6,72.0,507321,251.51,95
915,50/50,2011,7.6,72.0,317969,35.01,100
916,Kick-Ass,2010,7.6,66.0,530355,48.07,117
917,Celda 211,2009,7.6,,64621,,113
918,Moneyball,2011,7.6,87.0,378858,75.61,133
919,The Skin I Live In,2011,7.6,70.0,141598,3.19,120
920,Zombieland,2009,7.6,73.0,527226,75.59,88
921,The Wave,2008,7.6,,104209,,107
922,Sherlock Holmes,2009,7.6,57.0,590132,209.03,128
923,The Blind Side,2009,7.6,53.0,298819,255.96,129
924,The Visitor,2007,7.6,79.0,41784,9.42,104
925,Seven Pounds,2008,7.6,36.0,289621,69.95,123
926,Eastern Promises,2007,7.6,82.0,230762,17.11,100
927,Stardust,2007,7.6,66.0,258385,38.63,127
928,The Secret of Kells,2009,7.6,81.0,32796,0.69,75
929,Inside Man,2006,7.6,76.0,346569,88.51,129
930,Gone Baby Gone,2007,7.6,72.0,254202,20.3,114
931,La Vie En Rose,2007,7.6,66.0,83591,10.3,140
932,Fearless,2006,7.6,70.0,73392,24.63,104
933,The Illusionist,2006,7.6,68.0,357677,39.87,110
934,Dead Man's Shoes,2004,7.6,52.0,50353,0.01,90
935,Harry Potter and the Half-Blood Prince,2009,7.6,78.0,485903,301.96,153
