,movie,year,imdb,metaScore,votes,usGrossMillions,timeMin
105,Full Metal Jacket,1987,8.3,76.0,685460,46.36,116
106,Come and See,1985,8.3,,62495,,142
107,Aliens,1986,8.3,84.0,662100,85.16,137
108,Amadeus,1984,8.3,88.0,374568,51.97,160
109,Scarface,1983,8.3,65.0,757061,45.6,170
110,Star Wars: Episode VI - Return of the Jedi,1983,8.3,58.0,965036,309.13,131
111,Das Boot,1981,8.3,86.0,235289,11.49,149
112,Taxi Driver,1976,8.3,94.0,739882,28.26,114
113,The Sting,1973,8.3,83.0,245086,159.6,129
114,A Clockwork Orange,1971,8.3,77.0,769012,6.21,136
115,Anand,1971,8.3,,31539,,122
116,2001: A Space Odyssey,1968,8.3,84.0,613687,56.95,149
117,To Kill a Mockingbird,1962,8.3,88.0,297335,,129
118,Lawrence of Arabia,1962,8.3,100.0,272307,44.82,228
119,The Apartment,1960,8.3,94.0,167393,18.6,125
120,North by Northwest,1959,8.3,98.0,303519,13.28,136
121,Vertigo,1958,8.3,100.0,370829,3.2,128
122,Singin' in the Rain,1952,8.3,99.0,222776,8.82,103
123,Ikiru,1952,8.3,,70401,0.06,143
124,Bicycle Thieves,1948,8.3,,149712,0.33,89
125,Double Indemnity,1944,8.3,95.0,146003,5.72,107
126,Citizen Kane,1941,8.3,100.0,411840,1.59,119
127,M,1931,8.3,,146115,0.03,99
128,Metropolis,1927,8.3,98.0,162573,1.24,153
129,The Kid,1921,8.3,,116039,5.45,68
130,Uri: The Surgical Strike,2018,8.2,,44729,4.19,138
131,Andhadhun,2018,8.2,,75819,1.37,139
132,K.G.F: Chapter 1,2018,8.2,,39328,,156
133,Green Book,2018,8.2,69.0,402873,85.08,130
134,A Silent Voice: The Movie,2016,8.2,78.0,53818,,130
135,Talvar,2015,8.2,,31836,0.34,132
136,Baahubali 2: The Conclusion,2017,8.2,,77108,20.19,167
137,Klaus,2019,8.2,65.0,112081,,96
138,Drishyam,2015,8.2,,73320,0.74,163
139,Queen,2013,8.2,,61451,1.43,146
140,Tangerines,2013,8.2,73.0,42417,0.14,87
141,Bhaag Milkha Bhaag,2013,8.2,,61995,1.63,186
142,Gangs of Wasseypur,2012,8.2,89.0,84746,,321
143,Paan Singh Tomar,2012,8.2,,33779,0.04,135
144,The Secret in Their Eyes,2009,8.2,80.0,196673,6.39,129
145,Zack Snyder's Justice League,2021,8.2,54.0,283181,,242
146,Shutter Island,2010,8.2,63.0,1157768,128.01,138
147,Up,2009,8.2,88.0,952155,293.0,96
148,Miracle in Cell No. 7,2019,8.2,,38868,,132
149,The Wolf of Wall Street,2013,8.2,75.0,1221228,116.9,180
150,Chak De! India,2007,8.2,68.0,75080,1.11,153
151,There Will Be Blood,2007,8.2,93.0,528554,40.22,158
152,Pan's Labyrinth,2006,8.2,98.0,627122,37.63,118
153,Toy Story 3,2010,8.2,92.0,768930,415.0,103
154,Black,2005,8.2,,33648,0.73,122
155,Batman Begins,2005,8.2,70.0,1330792,206.85,140
156,Swades,2004,8.2,,84395,1.22,189
157,Downfall,2004,8.2,82.0,335786,5.51,156
158,Howl's Moving Castle,2004,8.2,80.0,344256,4.71,119
159,A Beautiful Mind,2001,8.2,72.0,863449,170.74,135
160,Hera Pheri,2000,8.2,,58434,,156
161,"Lock, Stock and Two Smoking Barrels",1998,8.2,66.0,543409,3.9,107
162,L.A. Confidential,1997,8.2,90.0,539986,64.62,138
163,The Bandit,1996,8.2,,65654,,128
164,Heat,1995,8.2,76.0,589197,67.44,170
165,Casino,1995,8.2,73.0,475404,42.44,178
166,Unforgiven,1992,8.2,85.0,381916,101.16,130
167,Indiana Jones and the Last Crusade,1989,8.2,65.0,701519,197.17,127
168,Time of the Gypsies,1988,8.2,,28181,0.28,142
169,My Neighbor Totoro,1988,8.2,86.0,299729,1.11,86
170,Die Hard,1988,8.2,72.0,803600,83.01,132
171,Ran,1985,8.2,96.0,115163,4.14,162
172,Raging Bull,1980,8.2,89.0,326906,23.38,129
173,Autumn Sonata,1978,8.2,,28707,,99
174,The Message,1976,8.2,,44633,,177
175,Sholay,1975,8.2,,52023,,162
176,Monty Python and the Holy Grail,1975,8.2,91.0,507090,1.23,91
177,Chinatown,1974,8.2,92.0,299920,8.49,130
